Date,Ticker,Open,High,Low,Close,Volume
2023-06-29,MAR,172.8721889473,176.2880400021,172.1044727785,176.1568479986,1716157
2023-06-29,MCD,271.6473665139,274.5450626547,270.3988414886,274.368032987,1743969
2023-06-29,MCK,409.4569499007,416.2189229464,408.7146618311,415.1683757118,702319
2023-06-29,MELI,1211.2,1214.21,1162.39,1171.45,382373
2023-06-29,META,282.0567679505,284.108991183,278.279487508,279.1122737473,15395690
2023-06-29,MO,35.2851145945,35.7299516988,35.2056793973,35.7220081791,6380422
2023-06-29,MOS,31.194915189,31.8349046565,31.0532032354,31.7983338298,2458308
2023-06-29,MP,22.42,22.91,22.36,22.85,2014443
2023-06-29,MS,77.5824612253,78.2370121051,76.9370013299,77.4915513808,9066524
2023-06-29,MSFT,326.9838480652,328.3515316937,324.9420917913,327.3159998036,16997042
2023-06-29,MSOS,5.51,5.53,5.42,5.52,1488833
2023-06-29,MU,66.967016111,67.0756006006,62.7322210179,63.5021837621,51141898
2023-06-29,MUFG,6.6575776191,6.7484040532,6.6575776191,6.7393214098,2708661
2023-06-29,MURGY,6.5863209917,6.5994448878,6.56551917,6.5923026314,84375
2023-06-29,NAIL,72.4509800474,72.7299388331,70.5716787547,72.685892709,183534
2023-06-29,NEE,66.5198894308,67.3619133477,66.3642980549,66.6388710713,7193155
2023-06-29,NEM,38.201271193,39.3014303512,38.1263667397,39.2780227095,6103971
2023-06-29,NFLX,43.433,43.785,42.615,42.824,49323100
2023-06-29,NKE,106.7213961699,107.3508269395,105.791341749,106.5053229206,12465528
2023-06-29,NOC,421.197141504,429.4544167507,420.854673867,429.2451309726,531168
2023-06-29,NOW,109.994,110.148,108.536,109.616,3551635
2023-06-29,NRG,34.3799572444,35.0662402301,34.2295390557,34.9440254518,4659055
2023-06-29,NVDA,41.4784181721,41.5203377439,40.522252702,40.7438275813,380514300
2023-06-29,NXE,4.6,4.69,4.54,4.66,2519160
2023-06-29,ODFL,182.6449143073,185.2211864841,181.0421190217,184.7393645884,1828034
2023-06-29,OIH,265.8758275387,268.7450253202,264.1182063811,268.5740135319,387239
2023-06-29,OKE,52.0026012616,52.6874091795,51.9255603709,52.6360485856,2428916
2023-06-29,ORCL,110.9783859981,113.0415380075,109.9995883006,113.0223458958,9234347
2023-06-29,ORLY,62.512,62.7593333333,62.092,62.4946666667,3301950
2023-06-29,OXY,55.2028530389,55.5158589066,54.7001466452,55.5063738803,10982586
2023-06-29,PAAS,13.2474716412,13.5167676053,13.1340838668,13.4742471899,3490110
2023-06-29,PALL,22.462,22.873,22.462,22.706,180805
2023-06-29,PANW,126.43,127.445,125.53,126.665,5201658
2023-06-29,PBR,11.1546640792,11.2329424236,11.0724718176,11.2172867547,16081295
2023-06-29,PG,137.3942958246,138.523209085,136.1173283661,138.2271006888,7343034
2023-06-29,PLTR,15.4,15.57,15.06,15.2,46300897
2023-06-29,PYPL,65.7331826634,66.7642914111,65.0589961746,65.2969443471,14894152
2023-06-29,QID,56.5430121602,57.2087135543,56.3349804746,56.6678311716,2318826
2023-06-29,QQQ,358.021253574,358.6601559868,355.9571073174,357.5985950548,46150967
2023-06-29,RIO,52.4911419406,53.1339670381,52.3912856148,53.0902798955,2242687
2023-06-29,ROK,304.8769856491,309.3183729374,304.0971274958,308.3673264088,536258
2023-06-29,RRC,27.7669099702,28.539022367,27.5046831184,28.4953178917,2343837
2023-06-29,RTX,90.0928944025,91.8665982611,89.9547519644,91.7821361726,4071427
2023-06-29,SAM,308.0,311.51,307.21,309.66,122382
2023-06-29,SBGSY,33.9545960018,34.0791824393,33.887510997,33.9545960018,149888
2023-06-29,SBSW,5.7328070611,5.9907833788,5.6945883473,5.9334553082,7369844
2023-06-29,SCHW,54.4643328683,54.9675672005,54.1480141452,54.7710661756,15151098
2023-06-29,SCZ,52.7898641076,53.1184151379,52.7898641076,52.9261546346,500322
2023-06-29,SDVY,26.6252852644,26.9494025931,26.5968773338,26.90173828,247581
2023-06-29,SHOP,64.78,64.81,63.17,63.76,8527854
2023-06-29,SIEGY,76.2209620521,76.4257070051,75.8486985012,76.0999763981,123666
2023-06-29,SIL,24.1079527169,24.462622399,23.9449963765,24.4434510648,245676
2023-06-29,SLB,45.283362972,45.3204273165,44.1621665489,44.9127195263,10506213
2023-06-29,SLV,20.56,20.82,20.45,20.72,13780879
2023-06-29,SMR,6.71,7.05,6.65,6.84,1074213
2023-06-29,SNOW,183.55,186.17,175.121,175.77,9010567
2023-06-29,SOXS,1794.1063760707,1864.3258037056,1790.595404689,1809.9057472886,280291
2023-06-29,SOYB,26.25,26.4465,26.25,26.27,35528
2023-06-29,SPG,96.4392297783,98.5342415363,96.1644741379,98.5342415363,1304710
2023-06-29,SPY,419.9956696302,422.2307140232,419.5910495246,422.0669392185,67882304
2023-06-29,SRUUF,12.71,12.8,12.63,12.65,141453
2023-06-29,STZ,232.0942974106,233.5985948904,231.3045412337,232.0848955514,1148862
2023-06-29,T,13.3758461268,13.605292026,13.3758461268,13.5797980372,27298284
2023-06-29,TAN,68.9597532916,69.8744443676,68.1443857357,68.5222923422,831653
2023-06-29,TAP,59.2157615597,59.5452395013,59.0442524942,59.2338151456,1820295
2023-06-29,TBT,26.5198266952,26.8613027245,26.4222621153,26.688347333,5771090
2023-06-29,TCBI,51.7743596009,52.6924862553,51.7544003258,52.0737487273,281112
2023-06-29,TECK,39.5704611755,39.6721473827,39.1644910991,39.6285675796,1936636
2023-06-29,TGT,118.4695870858,119.8824942989,117.8346730849,118.8541124665,6055214
2023-06-29,TPL,139.5974616768,142.1316245433,138.781498323,141.875493754,182223
2023-06-29,TRMLF,39.6508785354,40.2728531007,39.4349151447,40.2070274592,18894
2023-06-29,TSLA,258.03,260.74,253.61,257.5,131283360
2023-06-29,TSLS,180.0037328617,183.2584462636,178.1078623052,180.5461850954,60384
2023-06-29,TSM,97.1763696547,97.348974219,95.9106028505,96.5051296828,7383942
2023-06-29,UAL,56.42,56.76,53.61,53.72,11804314
2023-06-29,UBER,44.09,44.28,42.11,42.58,28595285
2023-06-29,UCO,23.13,23.76,22.8,23.28,2657485
2023-06-29,UNG,28.2,29.28,28.16,28.72,5389774
2023-06-29,UNH,447.029886241,451.386517489,445.147972095,448.3095878602,2979403
2023-06-29,UPS,148.7451154031,149.3980269232,148.2066753833,149.2793157377,2301550
2023-06-29,URA,18.5038708641,18.9057490793,18.4601884494,18.7747018352,948124
2023-06-29,URNM,30.0348553661,30.4072258137,29.8259646273,30.1892528688,78776
2023-06-29,USB,28.1966628609,28.7048687174,28.0696113968,28.7048687174,12479690
2023-06-29,USO,62.75,63.64,62.25,62.96,1992226
2023-06-29,V,223.6335108514,229.4103107514,223.44877055,229.0388752248,7118889
2023-06-29,VALE,10.4359755367,10.624011132,10.4281407202,10.5926718661,17979336
2023-06-29,VIS,194.8957601023,196.6705210574,194.5292333833,196.6415847374,163836
2023-06-29,VIXY,100.04,102.2,99.84,101.68,444038
2023-06-29,VLO,106.058822561,107.1666538395,105.7109086058,106.7638061019,2272785
2023-06-29,VST,24.9788821923,25.3672052734,24.891509499,25.2798325802,1686932
2023-06-29,VSXY,17.26,17.907,17.19,17.37,1158113
2023-06-29,WDAY,223.74,227.995,221.0201,227.12,2445921
2023-06-29,WEAT,33.0,33.425,32.9,32.95,148803
2023-06-29,WFC,38.4995170352,39.4555079355,38.3927801871,39.3998191452,23956315
2023-06-29,WFRD,62.3827270551,63.6568363854,61.6970422629,63.6179322837,1529319
2023-06-29,WMT,49.8507677792,49.9282008532,49.4087539816,49.7765610832,21530277
2023-06-29,WPM,40.888140434,41.4419049043,40.5867058672,41.3548778278,1123393
2023-06-29,WYNN,101.4825160333,102.4517855274,100.5326319291,101.2886621345,1354936
2023-06-29,XBI,83.1758293213,83.4342319456,81.9682939811,82.1124031369,6458076
2023-06-29,XLE,36.3716223447,36.6533967525,36.1761981587,36.6533967525,28435784
2023-06-29,XME,48.660006844,49.7509502412,48.5371528578,49.7411219223,2781787
2023-06-29,XOM,95.5649315534,96.5327005933,95.0855693186,96.5055668819,11364436
2023-06-29,XOP,117.3652542648,119.3969881987,117.1229373736,119.359708677,3067459
2023-06-29,XYZ,64.875,65.77,63.74,64.39,6240855
2023-06-30,AA,32.8415218193,32.9478050614,32.1893291971,32.7835491418,4971171
2023-06-30,AAPL,188.9985450178,191.8094089394,188.633625842,191.3064122376,85213216
2023-06-30,ABT,101.6561969387,102.9174867897,101.3738186139,102.6162832432,4449245
2023-06-30,ADBE,482.74,492.81,482.72,488.99,3096582
2023-06-30,ADP,202.7715888014,205.5961470676,202.7203179418,204.8876770074,1782028
2023-06-30,AEM,46.6871753759,47.2543408998,46.469761925,47.244888141,2128263
2023-06-30,AGG,87.195333644,87.4091787296,87.0884111012,87.2755255511,13417260
2023-06-30,ALB,209.4136399985,213.7490724588,206.8452694171,213.0424959973,1348445
2023-06-30,ALLY,24.766102063,24.766102063,24.2143371887,24.4314250081,2687958
2023-06-30,AMAT,141.7615963242,142.0055082243,139.9468917877,141.020104148,6142766
2023-06-30,AMD,113.03,114.69,112.41,113.91,53378774
2023-06-30,AMGN,202.4365078065,203.4486903455,201.5337504068,202.4547453297,2843358
2023-06-30,AMZN,129.47,131.245,128.95,130.36,54350684
2023-06-30,AON,335.1529165908,338.7119418019,333.9828261104,336.5960281832,950015
2023-06-30,AOS,68.6473407864,68.9581326983,68.0916825196,68.5437434824,452583
2023-06-30,AR,23.01,23.34,22.58,23.03,5055501
2023-06-30,ARKK,44.1719008264,44.320661157,43.626446281,43.7752066116,12080217
2023-06-30,ASML,701.1559655231,705.925568959,694.4891953085,703.310293016,963683
2023-06-30,AVGO,83.7830727312,84.3666949737,83.3788781534,83.6779242611,23145170
2023-06-30,AVLV,50.9673942212,51.0800609975,50.7000493283,50.9387501255,115078
2023-06-30,AXON,196.58,196.885,194.615,195.12,509683
2023-06-30,AXP,167.6749855573,168.4929592586,166.7992725358,167.6364926772,3371290
2023-06-30,B,15.5885260831,15.8126870334,15.5058667327,15.8126870334,12256076
2023-06-30,BA,213.14,213.24,209.38,211.16,5488713
2023-06-30,BABA,78.2642211994,79.2045578712,78.0573471315,78.3770616,12174290
